X,Y,Z,Name,Description,gx_media_links,Suburb,Careful,Coffs Harbour,FYI,Info,NOTE,Note2,Sands,Sans Souci,Thanks to,Tweed Heads West,Warning,Wiley Park
151.10442,-33.918239,0,Campsie: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAX-5pJCV6lblVUAcRz99AZmpgHuQ8ScrmRoo8HL86XVkyGXm5DNsApjVVeYwEiR1TG41ExB2jlfIHolcXGcO4bXvWFoAvI12cn0RV-2lE2x7xciXEEDR--ac-7sMSr0too-WUTJU7kIA_XLh8dnrcK23q3KceX6zxOoC67lCyjiqakkWnra3gO2B_pplViwseIwwss?authuser=0&fife=s16383,,,,,,,,,,,,,
151.099638,-33.920186,0,Campsie: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAV3ObNv1mYi0l1d4AXM8Z3-kzAUhh6qQpL1qCpr588DwvMPM1XM2Gzwz8SiZ_yiCUPacQluyIOVdSRUvCD9JpjCtshPebuGUlO6m8c81YlYSDiY-PQTl3ACTCWjb0nZif-eG5it0W71JfuK91Yvn1XtcREV_FCKgWxVsrB70B8V32QZHXqk55hiUAFPuD_udCRMQvQ?authuser=0&fife=s16383,,,,,,,,,,,,,
150.9238136,-33.8836387,0,Canley Heights: School Zone RLSC,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAU70_fEsyKXEi5aKv-J8oF0bLpuSngWCUjIzY11-u8TDFKCJJtwenxb2u9scQ-8TpFYg9Gktzq5sfGGn2E5M2jUSMs_nUWQ_tFdDMDjZEe8rPjJmBX6Tf9RK5vCs14vPg96w6q7zlB8uObnSlt2pb9h6bpL0Nhgie9EyeyjUABVzTqceERxI7CKlieKtKDplIF_1QQ?authuser=0&fife=s16383,,,,,,,,,,,,,
150.922894,-33.888277,0,Canley Heights: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVxMFl_oByuwHSUFAgvjCbp0d4WzaKHEOTJgyHKRIR9mnw7Hdlr6scvAYmU5FguLOvkFLSzKhyrFy1byoTsOLAAb61de3AdlaXNQyLJ_p095Xt2WB4-Z1HmwqmE6VTDnLxkmypV6kmCXDKp01931nj8b2AXmZJCXcusWUgXqfMAvk8Xt0Yf2eH05kbG3TJCYtA5YHY?authuser=0&fife=s16383,,,,,,,,,,,,,
150.937021,-33.885509,0,Canley Vale: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUyXmmAKvdpy7LbaLFZA205RVQj1f3vyC4_GHXzp4Z8KdySmR3E5CixeJ1XcLsFb1ovFHhmJqDIycRdekvj6HoGhbWA8LdUoelh1oGzpCn1Fy-R--xlmU45MmxDQx2q3pCNVhBWs9XEHImptxqvb-u4-gRCpBId3l4GpyWOQUjgMae2JU4JELpL5SxCx0vpQAdc-Go?authuser=0&fife=s16383,,,,,,,,,,,,,
151.132919,-34.045677,0,Caringbah: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAXyAOq1jjjryZwNQr2iBBJezjqiGVkEBdBZ_gEZTt8FMk0l2mj5h3cVaOq3osUI82OO4kZUFKNoyxljQSK2CS67DcmzFAy0W9G1-69ciRHCn8Jfk4CZXxVzLMbfuRDNY2ZzO6VVhvmdYLy6IaPf77jXZkOsQ1_J2llX7AMyan5R8BA4aw6EE5VuY84ABvi08verLwQ?authuser=0&fife=s16383,,,,,,,,,,,,,
150.976865,-33.724915,0,Castle Hill: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWNzprQWHExow_RCEtbUJnSUCLXByknNXHXZODEO2a5Gh9eCzJ6j6uNI9ZeS598gi9N_jLTr8OPXsA3I-S0-4xpH6dJLy30ZS-7KyJQN2JYNHejPqYhQ4OefFMyr0VJ1CWaPEt_IDhH9UOYjpqOF2TvZQL7nTaVR1-dk4wu4k1_MpqwQWUi1qYNtj7b9EGzkb7liVU?authuser=0&fife=s16383,,,,,,,,,,,,,
151.004191,-33.731204,0,Castle Hill: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAX8LLDNmqnJc-dHsprnbkOzDwiZzu1-9ERxMnyPlJ131IoMSh0r9KUH-lgPUvEXb5E1gaVYEo3Lv6Ko1yvc34ACtkqZGKhxA2Ays8pK5dBAVX6q9aiTt992DzCKGAu_KKPJjP81HCHpiLOD1RZYvcsiG8VudLjIit2o28rh3dn3G9M7Cse9_KuKvFMj5wKBPrerUvc?authuser=0&fife=s16383,,,,,,,,,,,,,
151.6866446,-32.9567081,0,Charlestown: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVLL79UiNc5ELf3nvFwQOhl8FhBsJOOcpsnMBR3Nq1BFl65uleR1Z1wKrJXA7oPqJbdA9fpgJk8Vdoi0JIgePbGW8CqG48V6XOtD_KvqbRN2400RqRyEwhEVRNYhQpNIs-jakA6pJ8uwe0-T6R9n0LvWmkkHgWz9CDeNbk-BFMm9HpLGQx64KRySi7nQaCN5W8zVEc?authuser=0&fife=s16383,,,,,,,,,,,,,
151.006726,-33.883728,0,Chester Hill: Red-Light Speed Cameras,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVkzWSKboTMRGa3_gi4h6r_gIVYaL0ssObTWN8wrwfXz_NNC4-okjc3k3Ip5M25Pn-4nNsEajkYqhmxW8m9-gPxRjfOGYr8sz6a3_8_ixikVcSEWirg6riJ_5Gs0yTHXno2FlHmQTuJZ6iQs4RIG5-KhNDeLZmuIsPOV9_W8S_sxSQZv_iD1g-gl9x76xWc5tRz3IY?authuser=0&fife=s16383,,,,,,,,,,,,,
151.1985978,-33.8843445,0,Chippendale: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAXpai3GQBkMxeyJ1BdHIu-CXv5ixX97qlboOCmk01ee6RlCNR0Yhe16nByLbKfHlodbzyzprCrFvmgGQoVIKCD-LbZMWiY7CFHo_2AurkQs1eoQ2aZhODDOddPIGZFC3YWuX68OsIoyYCKaGLDUlBeOCbnDjJ7dsMu5V9AZeQZINqfMFMNNOvamuldF77F7AFKqsEI?authuser=0&fife=s16383,,,,,,,,,,,,,
